target_language_source,n_rows
policy_selected_contact_locale,351
active_outbound_surface,351
schema_visible_locale_policy,324
customer_response_locale,243
explicit_user_instruction,90
contact_profile.response_locale,9
service_record.support_locale,9
answer_channel_rule->launch_accessibility_locale,9
handoff_policy->owner_team_locale,9
correspondence_policy->contact_notice_locale,9
template_metadata.visible_note_locale,9
portal_session_41A.locale,9
prior_recipient_thread.locale,9
user_visible_values_locale,9
release_lane_public.locale,9
public_external_fields_locale,9
case_docket_outbound.locale,6
template_policy->public_values_locale,6
notice_policy->contractual_notice_locale,6
selected_response_channel.locale,6
mixed_output_visible_text_locale,6
localized_cell_values_locale,6
recipient_visible_message_locale,6
